,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
1484,BiLSTM,brute,full,False,surprise,False,average,98,0.22301177831818103,0.18523050934330007,0.16198271161625244,0.1550825999000769,0.1496007350506977,0.1052539445484588,0.7582708113771001,0.11005424045436592
1485,BiLSTM,brute,full-head,False,surprise,False,0,98,0.09717868338557993,,0.05073649754500818,,0.06666666666666667,,[0.72959502],
1486,BiLSTM,brute,full-head,False,surprise,False,1,98,0.5180023228803716,,0.3562300319488818,,0.4221486038807383,,[0.74678557],
1487,BiLSTM,brute,full-head,False,surprise,False,2,98,0.24363636363636362,,0.5,,0.32762836185819066,,[0.78731632],
1488,BiLSTM,brute,full-head,False,surprise,False,3,98,0.5955555555555555,,0.07456872565386756,,0.13254203758654798,,[0.53276505],
1489,BiLSTM,brute,full-head,False,surprise,False,4,98,0.0,,0.0,,0.0,,[0.89541194],
1490,BiLSTM,brute,full-head,False,surprise,False,5,98,0.21595330739299612,,0.4889867841409692,,0.29959514170040485,,[0.8224427],
1491,BiLSTM,brute,full-head,False,surprise,False,6,98,0.4875,,0.23493975903614459,,0.3170731707317073,,[0.75931232],
1492,BiLSTM,brute,full-head,False,surprise,False,7,98,0.03313840155945419,,0.13076923076923078,,0.05287713841368585,,[0.84820538],
1493,BiLSTM,brute,full-head,False,surprise,False,average,98,0.2738705793012901,0.2171303414513814,0.22952887863676275,0.18539546610608645,0.20231639010474273,0.14713721745339667,0.7652292863043224,0.10202840929731716
1494,BiLSTM,brute,full-hh,False,surprise,False,0,98,0.12315270935960591,,0.04091653027823241,,0.06142506142506143,,[0.76199377],
1495,BiLSTM,brute,full-hh,False,surprise,False,1,98,0.41025641025641024,,0.20447284345047922,,0.27292110874200426,,[0.71712982],
1496,BiLSTM,brute,full-hh,False,surprise,False,2,98,0.2828054298642534,,0.4664179104477612,,0.3521126760563381,,[0.8221191],
