,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
402,JointBiLSTM,brute,full,True,anger,6,52,0.5210280373831776,,0.9214876033057852,,0.6656716417910448,,[0.83954155],
403,JointBiLSTM,brute,full,True,anger,7,52,0.641946697566628,,0.19645390070921986,,0.3008417051316862,,[0.35817547],
404,JointBiLSTM,brute,full,True,anger,average,52,0.5477202347516461,0.13061396772365322,0.5705027970069845,0.27115972517199427,0.5000698125577574,0.14410989015357242,0.6947261971292705,0.1515973145995418
405,JointBiLSTM,brute,head,True,anger,0,52,0.6241299303944315,,0.578494623655914,,0.6004464285714286,,[0.77694704],
406,JointBiLSTM,brute,head,True,anger,1,52,0.489058039961941,,0.3472972972972973,,0.4061635717107863,,[0.68830361],
407,JointBiLSTM,brute,head,True,anger,2,52,0.591743119266055,,0.20941558441558442,,0.30935251798561153,,[0.55452436],
408,JointBiLSTM,brute,head,True,anger,3,52,0.41882804995196926,,0.6998394863563403,,0.5240384615384616,,[0.78902504],
409,JointBiLSTM,brute,head,True,anger,4,52,0.23676470588235293,,0.25117004680187205,,0.24375473126419378,,[0.50715343],
410,JointBiLSTM,brute,head,True,anger,5,52,0.3448275862068966,,0.7587064676616916,,0.47415468324912563,,[0.7685597],
411,JointBiLSTM,brute,head,True,anger,6,52,0.47357293868921774,,0.9256198347107438,,0.6265734265734265,,[0.80873926],
412,JointBiLSTM,brute,head,True,anger,7,52,0.07252747252747253,,0.011702127659574468,,0.02015267175572519,,[0.20014955],
413,JointBiLSTM,brute,head,True,anger,average,52,0.4064314803600421,0.17222643451297548,0.47278068356987724,0.29503388631601934,0.40057956158109487,0.190180043182862,0.6366752481097642,0.19577761841671296
414,JointBiLSTM,brute,full-head,True,anger,0,52,0.4124590163934426,,0.6763440860215054,,0.5124236252545825,,[0.6271028],
415,JointBiLSTM,brute,full-head,True,anger,1,52,0.6322489391796322,,0.30202702702702705,,0.4087791495198903,,[0.731854],
416,JointBiLSTM,brute,full-head,True,anger,2,52,0.6536458333333334,,0.20373376623376624,,0.31064356435643564,,[0.56921887],
417,JointBiLSTM,brute,full-head,True,anger,3,52,0.3880355699272433,,0.7704654895666132,,0.5161290322580645,,[0.76025573],
418,JointBiLSTM,brute,full-head,True,anger,4,52,0.32011935208866155,,0.5858034321372855,,0.41400220507166485,,[0.47557967],
419,JointBiLSTM,brute,full-head,True,anger,5,52,0.317323259579061,,0.7313432835820896,,0.4426044410989838,,[0.74666439],
420,JointBiLSTM,brute,full-head,True,anger,6,52,0.5071428571428571,,0.8801652892561983,,0.6435045317220542,,[0.83094556],
421,JointBiLSTM,brute,full-head,True,anger,7,52,0.5115546218487395,,0.1726950354609929,,0.2582184517497349,,[0.30259222],
422,JointBiLSTM,brute,full-head,True,anger,average,52,0.46781618118662127,0.12192326713855053,0.5403221761606848,0.257571568862083,0.43828812512892634,0.11394433401903468,0.6305266558330028,0.16434434066688194
423,JointBiLSTM,brute,hands,True,anger,0,52,0.6321243523316062,,0.524731182795699,,0.5734430082256169,,[0.77383178],
424,JointBiLSTM,brute,hands,True,anger,1,52,0.5089408528198074,,0.25,,0.33529678296329857,,[0.69576939],
425,JointBiLSTM,brute,hands,True,anger,2,52,0.6192170818505338,,0.14123376623376624,,0.23000660938532716,,[0.54949729],
426,JointBiLSTM,brute,hands,True,anger,3,52,0.4440944881889764,,0.9052969502407705,,0.595879556259905,,[0.79621737],
427,JointBiLSTM,brute,hands,True,anger,4,52,0.0,,0.0,,0.0,,[0.68376912],
